NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (km2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
DEF01;01001000;Flensburg, Stadt;Flensburg, Stadt;no;88519;56,73;1;;;;;;;;;;;;
DEF02;01002000;Kiel, Landeshauptstadt;Kiel, Landeshauptstadt;no;247943;118,65;1;;;;;;;;;;;;
DEF03;01003000;Lübeck, Hansestadt;Lübeck, Hansestadt;no;216318;214,19;1;;;;;;;;;;;;
DEF04;01004000;Neumünster, Stadt;Neumünster, Stadt;no;79335;71,66;1;;;;;;;;;;;;
DEF05;01051001;Albersdorf;Albersdorf;no;3717;17,12;3;;;;;;;;;;;;
DEF05;01051002;Arkebek;Arkebek;no;198;6,92;3;;;;;;;;;;;;
DEF05;01051003;Averlak;Averlak;no;566;9,06;3;;;;;;;;;;;;
DEF05;01051004;Bargenstedt;Bargenstedt;no;939;11,90;3;;;;;;;;;;;;
DEF05;01051005;Barkenholm;Barkenholm;no;160;5,11;3;;;;;;;;;;;;
DEF05;01051006;Barlt;Barlt;no;763;22,88;3;;;;;;;;;;;;
DEF05;01051008;Bergewöhrden;Bergewöhrden;no;33;2,64;3;;;;;;;;;;;;
DEF05;01051010;Brickeln;Brickeln;no;220;6,07;3;;;;;;;;;;;;
DEF05;01051011;Brunsbüttel, Stadt;Brunsbüttel, Stadt;no;12704;65,21;2;;;;;;;;;;;;
DEF05;01051012;Buchholz;Buchholz;no;1010;14,56;3;;;;;;;;;;;;
DEF05;01051013;Büsum;Büsum;no;4867;8,48;3;;;;;;;;;;;;
DEF05;01051014;Büsumer Deichhausen;Büsumer Deichhausen;no;361;2,87;3;;;;;;;;;;;;
DEF05;01051015;Bunsoh;Bunsoh;no;782;11,75;3;;;;;;;;;;;;
DEF05;01051016;Burg (Dithmarschen);Burg (Dithmarschen);no;4141;11,25;3;;;;;;;;;;;;
DEF05;01051017;Busenwurth;Busenwurth;no;316;10,09;3;;;;;;;;;;;;
DEF05;01051019;Dellstedt;Dellstedt;no;741;21,77;3;;;;;;;;;;;;
DEF05;01051020;Delve;Delve;no;696;15,84;3;;;;;;;;;;;;
DEF05;01051021;Diekhusen-Fahrstedt;Diekhusen-Fahrstedt;no;712;7,46;3;;;;;;;;;;;;
DEF05;01051022;Dingen;Dingen;no;621;7,01;3;;;;;;;;;;;;
DEF05;01051023;Dörpling;Dörpling;no;602;7,82;3;;;;;;;;;;;;
DEF05;01051024;Eddelak;Eddelak;no;1361;9,21;3;;;;;;;;;;;;
DEF05;01051026;Eggstedt;Eggstedt;no;745;12,79;3;;;;;;;;;;;;
DEF05;01051027;Elpersbüttel;Elpersbüttel;no;865;30,17;3;;;;;;;;;;;;
DEF05;01051028;Epenwöhrden;Epenwöhrden;no;786;13,52;3;;;;;;;;;;;;
DEF05;01051030;Fedderingen;Fedderingen;no;286;9,69;3;;;;;;;;;;;;
DEF05;01051032;Frestedt;Frestedt;no;344;10,33;3;;;;;;;;;;;;
DEF05;01051033;Friedrichsgabekoog;Friedrichsgabekoog;no;54;8,62;3;;;;;;;;;;;;
DEF05;01051034;Friedrichskoog;Friedrichskoog;no;2570;53,27;3;;;;;;;;;;;;
DEF05;01051035;Gaushorn;Gaushorn;no;170;6,45;3;;;;;;;;;;;;
DEF05;01051036;Glüsing;Glüsing;no;110;4,69;3;;;;;;;;;;;;
DEF05;01051037;Großenrade;Großenrade;no;470;10,40;3;;;;;;;;;;;;
DEF05;01051038;Groven;Groven;no;86;7,90;3;;;;;;;;;;;;
DEF05;01051039;Gudendorf;Gudendorf;no;376;6,04;3;;;;;;;;;;;;
DEF05;01051043;Hedwigenkoog;Hedwigenkoog;no;216;16,36;3;;;;;;;;;;;;
DEF05;01051044;Heide, Stadt;Heide, Stadt;no;21699;31,97;2;;;;;;;;;;;;
DEF05;01051045;Hellschen-Heringsand-Unterschaar;Hellschen-Heringsand-Unterschaar;no;170;7,02;3;;;;;;;;;;;;
DEF05;01051046;Helse;Helse;no;836;11,44;3;;;;;;;;;;;;
DEF05;01051047;Hemme;Hemme;no;493;16,53;3;;;;;;;;;;;;
DEF05;01051048;Hemmingstedt;Hemmingstedt;no;2863;16,01;3;;;;;;;;;;;;
DEF05;01051049;Hennstedt;Hennstedt;no;1940;21,93;3;;;;;;;;;;;;
DEF05;01051050;Hillgroven;Hillgroven;no;65;3,60;3;;;;;;;;;;;;
DEF05;01051051;Hochdonn;Hochdonn;no;1101;5,46;3;;;;;;;;;;;;
DEF05;01051052;Hövede;Hövede;no;61;2,94;3;;;;;;;;;;;;
DEF05;01051053;Hollingstedt;Hollingstedt;no;293;9,74;3;;;;;;;;;;;;
DEF05;01051054;Immenstedt;Immenstedt;no;102;3,09;3;;;;;;;;;;;;
