NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
UKJ43;E07000109;Gravesham;;No;106808;104958600;1;No;;;UK020C1;No;Gravesham;;;;UK001L3;No;London
UKH32;E06000034;Thurrock;;No;167025;184318000;1;No;;;UK032C1;No;Thurrock;;;;UK001L3;No;London
UKJ46;E07000116;Tunbridge Wells;;No;117069;331328700;1;No;;;UK040C1;No;Tunbridge Wells;;;;UK001L3;No;London
UKJ25;E07000217;Woking;;No;99695;63603400;1;No;;;UK052C1;No;Woking;;;;UK001L3;No;London
UKH35;E07000073;Harlow;;No;85995;30537900;1;No;;;UK061C1;No;Harlow;;;;UK001L3;No;London
UKI31;E09000001;City of London;;No;9401;3149600;1;No;;;UK101C1;No;City of London;UK001K2;No;London;UK001L3;No;London
UKI52;E09000002;Barking and Dagenham;;No;206460;37799200;1;No;;;UK102C1;No;Barking and Dagenham;UK001K2;No;London;UK001L3;No;London
UKI71;E09000003;Barnet;;No;386083;86748300;1;No;;;UK103C1;No;Barnet;UK001K2;No;London;UK001L3;No;London
UKI51;E09000004;Bexley;;No;244760;64286500;1;No;;;UK104C1;No;Bexley;UK001K2;No;London;UK001L3;No;London
UKI72;E09000005;Brent;;No;328254;43232500;1;No;;;UK105C1;No;Brent;UK001K2;No;London;UK001L3;No;London
UKI61;E09000006;Bromley;;No;326889;150134700;1;No;;;UK106C1;No;Bromley;UK001K2;No;London;UK001L3;No;London
UKI31;E09000007;Camden;;No;246181;21789500;1;No;;;UK107C1;No;Camden;UK001K2;No;London;UK001L3;No;London
UKI62;E09000008;Croydon;;No;382304;86494700;1;No;;;UK108C1;No;Croydon;UK001K2;No;London;UK001L3;No;London
UKI73;E09000009;Ealing;;No;343196;55544700;1;No;;;UK109C1;No;Ealing;UK001K2;No;London;UK001L3;No;London
UKI54;E09000010;Enfield;;No;331395;82200200;1;No;;;UK110C1;No;Enfield;UK001K2;No;London;UK001L3;No;London
UKI51;E09000011;Greenwich;;No;279766;50441800;1;No;;;UK111C1;No;Greenwich;UK001K2;No;London;UK001L3;No;London
UKI41;E09000012;Hackney;;No;273526;19049200;1;No;;;UK112C1;No;Hackney;UK001K2;No;London;UK001L3;No;London
UKI33;E09000013;Hammersmith and Fulham;;No;179654;17154100;1;No;;;UK113C1;No;Hammersmith and Fulham;UK001K2;No;London;UK001L3;No;London
UKI43;E09000014;Haringey;;No;278451;29598300;1;No;;;UK114C1;No;Haringey;UK001K2;No;London;UK001L3;No;London
UKI74;E09000015;Harrow;;No;248752;50463400;1;No;;;UK115C1;No;Harrow;UK001K2;No;London;UK001L3;No;London
UKI52;E09000016;Havering;;No;252783;114457300;1;No;;;UK116C1;No;Havering;UK001K2;No;London;UK001L3;No;London
UKI74;E09000017;Hillingdon;;No;302471;115700200;1;No;;;UK117C1;No;Hillingdon;UK001K2;No;London;UK001L3;No;London
UKI75;E09000018;Hounslow;;No;271139;56585400;1;No;;;UK118C1;No;Hounslow;UK001K2;No;London;UK001L3;No;London
UKI43;E09000019;Islington;;No;232865;14856500;1;No;;;UK119C1;No;Islington;UK001K2;No;London;UK001L3;No;London
UKI33;E09000020;Kensington and Chelsea;;No;156726;12383700;1;No;;;UK120C1;No;Kensington and Chelsea;UK001K2;No;London;UK001L3;No;London
UKI63;E09000021;Kingston upon Thames;;No;176107;37261200;1;No;;;UK121C1;No;Kingston upon Thames;UK001K2;No;London;UK001L3;No;London
UKI45;E09000022;Lambeth;;No;327910;27249300;1;No;;;UK122C1;No;Lambeth;UK001K2;No;London;UK001L3;No;London
UKI44;E09000023;Lewisham;;No;301867;35316700;1;No;;;UK123C1;No;Lewisham;UK001K2;No;London;UK001L3;No;London
UKI63;E09000024;Merton;;No;205029;37624800;1;No;;;UK124C1;No;Merton;UK001K2;No;London;UK001L3;No;London
UKI41;E09000025;Newham;;No;340978;38578100;1;No;;;UK125C1;No;Newham;UK001K2;No;London;UK001L3;No;London
UKI53;E09000026;Redbridge;;No;299249;56442100;1;No;;;UK126C1;No;Redbridge;UK001K2;No;London;UK001L3;No;London
UKI75;E09000027;Richmond upon Thames;;No;195846;58761400;1;No;;;UK127C1;No;Richmond upon Thames;UK001K2;No;London;UK001L3;No;London
UKI44;E09000028;Southwark;;No;313223;29913400;1;No;;;UK128C1;No;Southwark;UK001K2;No;London;UK001L3;No;London
UKI63;E09000029;Sutton;;No;202220;43847100;1;No;;;UK129C1;No;Sutton;UK001K2;No;London;UK001L3;No;London
UKI42;E09000030;Tower Hamlets;;No;304854;21575000;1;No;;;UK130C1;No;Tower Hamlets;UK001K2;No;London;UK001L3;No;London
UKI53;E09000031;Waltham Forest;;No;275843;38807800;1;No;;;UK131C1;No;Waltham Forest;UK001K2;No;London;UK001L3;No;London
UKI34;E09000032;Wandsworth;;No;316096;35220200;1;No;;;UK132C1;No;Wandsworth;UK001K2;No;London;UK001L3;No;London
UKI32;E09000033;Westminster;;No;247614;22030100;1;No;;;UK133C1;No;Westminster;UK001K2;No;London;UK001L3;No;London
UKH37;E07000066;Basildon;;No;183378;110445900;1;No;;;UK538C1;No;Basildon;;;;UK001L3;No;London
UKH31;E06000033;Southend-on-Sea;;No;179799;67901100;1;No;;;UK541C1;No;Southend-on-Sea;UK541K1;No;Southend-on-Sea;UK001L3;No;London
UKH36;E07000070;Chelmsford;;No;174089;342997300;1;No;;;UK544C1;No;Chelmsford;;;;UK001L3;No;London
UKH23;E07000240;St Albans;;No;146282;161205900;1;No;;;UK563C1;No;St Albans;;;;UK001L3;No;London
UKH23;E07000103;Watford;;No;96773;21430400;1;No;;;UK577C1;No;Watford;;;;UK001L3;No;London
UKH37;E07000069;Castle Point;;No;89731;63698400;1;No;;;;;;UK541K1;No;Southend-on-Sea;UK001L3;No;London
UKG31;E08000025;Birmingham;;No;1124569;267791300;1;No;;;UK002C1;No;Birmingham;UK002K1;No;West Midlands urban area;UK002L3;No;West Midlands urban area
UKG39;E08000031;Wolverhampton;;No;256621;69436500;1;No;;;UK028C1;No;Wolverhampton;UK002K1;No;West Midlands urban area;UK002L3;No;West Midlands urban area
UKG24;E07000192;Cannock Chase;;No;98534;78882500;1;No;;;UK054C1;No;Cannock Chase;;;;UK002L3;No;West Midlands urban area
UKG24;E07000199;Tamworth;;No;76955;30850800;1;No;;;UK060C1;No;Tamworth;;;;UK002L3;No;West Midlands urban area
UKG36;E08000027;Dudley;;No;317634;97958400;1;No;;;UK504C1;No;Dudley;UK002K1;No;West Midlands urban area;UK002L3;No;West Midlands urban area
UKG37;E08000028;Sandwell;;No;322712;85558900;1;No;;;UK509C1;No;Sandwell;UK002K1;No;West Midlands urban area;UK002L3;No;West Midlands urban area
UKG38;E08000030;Walsall;;No;278715;103973400;1;No;;;UK512C1;No;Walsall;UK002K1;No;West Midlands urban area;UK002L3;No;West Midlands urban area
UKG32;E08000029;Solihull;;No;211763;178282100;1;No;;;UK527C1;No;Solihull;UK002K1;No;West Midlands urban area;UK002L3;No;West Midlands urban area
UKE42;E08000035;Leeds;;No;781743;551706500;1;No;;;UK003C1;No;Leeds;;;;UK003L2;No;Leeds
UKE41;E08000032;Bradford;;No;534279;366419800;1;No;;;UK005C1;No;Bradford;;;;UK003L2;No;Leeds
UKE44;E08000034;Kirklees;;No;437047;408551600;1;No;;;UK501C1;No;Kirklees;;;;UK003L2;No;Leeds
UKE45;E08000036;Wakefield;;No;336834;338619800;1;No;;;UK503C1;No;Wakefield;;;;UK003L2;No;Leeds
UKM82;S30000019;Glasgow City;;No;615070;176432500;1;No;;;UK004C1;No;Glasgow City;UK004K1;No;Greater Glasgow;UK004L1;No;Glasgow
UKM84;S30000023;North Lanarkshire;;No;339390;472126100;1;No;;;UK502C1;No;North Lanarkshire (Airdrie/Bellshill/Coatbridge/Motherwell);;;;UK004L1;No;Glasgow
UKM83;S30000022;Inverclyde;;No;79160;173564400;1;No;;;UK584C1;No;Inverclyde (Greenock);;;;UK004L1;No;Glasgow
UKM83;S30000021;Renfrewshire;;No;175930;269672600;1;No;;;UK585C1;No;Renfrewshire (Paisley);UK004K1;No;Greater Glasgow;UK004L1;No;Glasgow
UKM81;S30000015;East Dunbartonshire;;No;107540;174611400;1;No;;;;;;UK004K1;No;Greater Glasgow;UK004L1;No;Glasgow
UKM83;S30000020;East Renfrewshire;;No;93810;173791900;1;No;;;;;;UK004K1;No;Greater Glasgow;UK004L1;No;Glasgow
UKD72;E08000012;Liverpool;;No;484578;133534000;1;No;;;UK006C1;No;Liverpool;UK006K2;No;Liverpool;UK006L3;No;Liverpool
UKD74;E08000015;Wirral;;No;321238;256399100;1;No;;;UK030C1;No;Wirral;UK006K2;No;Liverpool;UK006L3;No;Liverpool
UKD73;E08000014;Sefton;;No;274261;204779600;1;No;;;UK508C1;No;Sefton;UK006K2;No;Liverpool;UK006L3;No;Liverpool
UKD71;E08000013;St. Helens;;No;178455;136358700;1;No;;;UK537C1;No;St. Helens;UK006K2;No;Liverpool;UK006L3;No;Liverpool
UKD71;E08000011;Knowsley;;No;147915;86500200;1;No;;;;;;UK006K2;No;Liverpool;UK006L3;No;Liverpool
UKM75;S30000008;City of Edinburgh;;Yes;507170;273044300;1;No;;;UK007C1;No;City of Edinburgh;;;;UK007L1;No;Edinburgh
UKD33;E08000003;Manchester;;No;541263;115648600;1;No;;;UK008C1;No;Manchester;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD36;E08000010;Wigan;;No;323060;188171200;1;No;;;UK505C1;No;Wigan;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD35;E08000007;Stockport;;No;290557;126040200;1;No;;;UK507C1;No;Stockport;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD36;E08000001;Bolton;;No;283115;139792300;1;No;;;UK511C1;No;Bolton;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD37;E08000004;Oldham;;No;232724;142345000;1;No;;;UK521C1;No;Oldham;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD34;E08000006;Salford;;No;248726;97197400;1;No;;;UK522C1;No;Salford;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD35;E08000008;Tameside;;No;223189;103154300;1;No;;;UK523C1;No;Tameside;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD34;E08000009;Trafford;;No;234673;106044700;1;No;;;UK524C1;No;Trafford;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD37;E08000005;Rochdale;;No;216165;158128300;1;No;;;UK526C1;No;Rochdale;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKD37;E08000002;Bury;;No;188669;99460100;1;No;;;UK534C1;No;Bury;UK008K1;No;Greater Manchester;UK008L3;No;Greater Manchester
UKL22;W06000015;Cardiff;;No;361468;149511200;1;No;;;UK009C1;No;Cardiff;;;;UK009L1;No;Cardiff
UKE32;E08000019;Sheffield;;No;575424;367930200;1;No;;;UK010C1;No;Sheffield;;;;UK010L3;No;Sheffield
UKE31;E08000018;Rotherham;;No;261930;286534300;1;No;;;UK514C1;No;Rotherham;;;;UK010L3;No;Sheffield
UKE31;E08000016;Barnsley;;No;241218;329077700;1;No;;;UK519C1;No;Barnsley;;;;UK010L3;No;Sheffield
UKK11;E06000023;Bristol, City of;;No;454213;235328500;1;No;;;UK011C1;No;Bristol, City of;;;;UK011L2;No;Bristol
UKC22;E08000021;Newcastle upon Tyne;;No;296478;115117800;1;No;;;UK013C1;No;Newcastle upon Tyne;UK013K1;No;Tyneside conurbation;UK013L2;No;Tyneside conurbation
UKC22;E08000022;North Tyneside;;No;203307;84819300;1;No;;;UK529C1;No;North Tyneside;UK013K1;No;Tyneside conurbation;UK013L2;No;Tyneside conurbation
UKC22;E08000037;Gateshead;;No;201592;144079700;1;No;;;UK530C1;No;Gateshead;UK013K1;No;Tyneside conurbation;UK013L2;No;Tyneside conurbation
UKC22;E08000023;South Tyneside;;No;149418;67108500;1;No;;;UK547C1;No;South Tyneside;UK013K1;No;Tyneside conurbation;UK013L2;No;Tyneside conurbation
UKF21;E06000016;Leicester;;No;348343;73342100;1;No;;;UK014C1;No;Leicester;UK014K1;No;Leicester;UK014L1;No;Leicester
UKF22;E07000129;Blaby;;No;97703;130468600;1;No;;;;;;UK014K1;No;Leicester;UK014L1;No;Leicester
UKF22;E07000135;Oadby and Wigston;;No;55825;23526100;1;No;;;;;;UK014K1;No;Leicester;UK014L1;No;Leicester
