NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
HR04C;00019;ANDRIJAŠEVCI;ANDRIJAŠEVCI;no;4075;39649463;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04B;00027;ANTUNOVAC;ANTUNOVAC;no;3703;56750960;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR04C;00035;BABINA GREDA;BABINA GREDA;no;3572;79483816;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00043;BAKAR;BAKAR;no;8279;125462409;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR002L;no;Rijeka
HR036;00051;BALE - VALLE;BALE - VALLE;no;1127;82117230;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR036;00060;BARBAN;BARBAN;no;2721;90503701;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR006L;no;Pula
HR04D;00078;BARILOVIĆ;BARILOVIĆ;no;2990;175599001;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00086;BAŠKA;BAŠKA;no;1674;98911854;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR035;00094;BAŠKA VODA;BAŠKA VODA;no;2775;25659840;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;00108;BEBRINA;BEBRINA;no;3252;101186686;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR003L;no;Slavonski Brod
HR043;00116;BEDEKOVČINA;BEDEKOVČINA;no;8041;51425870;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR042;05509;BEDENICA;BEDENICA;no;1432;21475153;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR044;00124;BEDNJA;BEDNJA;no;3992;76168361;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04B;00132;BELI MANASTIR;BELI MANASTIR;no;10068;62368226;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
